Nimi,Arv,Kogupind (ha),Koguväärtus (eur)
Harju maakond,"21958","8315.96","2385068401"
Hiiu maakond,450,"1795.27","11840142"
Ida-Viru maakond,"3508","4358.09","69777658"
Jõgeva maakond,"1198","4945.27","25398800"
Järva maakond,"1277","5795.38","34171670"
Lääne maakond,"1122","4317.18","28835125"
Lääne-Viru maakond,"2458","7961.73","82595679"
Põlva maakond,"1061","4370.83","26252123"
Pärnu maakond,"3274","8335.42","154913873"
Rapla maakond,"1298","5718.23","40764004"
Saare maakond,"1857","9179.10","50191486"
Tartu maakond,"5271","5995.84","387278460"
Valga maakond,989,"4211.35","23930282"
Viljandi maakond,"1737","7778.43","57307931"
Võru maakond,"1468","5602.19","41500208"
KOKKU,"48926","88680.27","3419825842"
